"","MAJOR_MARKET_CODE_C","ROOM_NUM_C","ROOM_TYPE_CODE_C","CHECK_IN_DATE_C","LENGTH_OF_STAY_C","ADULT_NUM_C","POV_CODE_C","PMS_ROOM_REV_USD_C","PMS_FOOD_BEVERAGE_REV_USD_C","RESERVATION_STATUS_R","MAJOR_MARKET_CODE_R","GUEST_COUNTRY_R","MEMBER_STATUS_R","PAST_VS_FUTURE_R","REVENUE_USD_R","Guest_Room_H","Tranquility_H","Condition_Hotel_H","Customer_SVC_H","Staff_Cared_H","Internet_Sat_H","Check_In_H","F.B_Overall_Experience_H","City_PL","State_PL","Guest.NPS.Goal_PL","Brand_PL","Club.Type_PL","Hotel.Inventory_PL","Floors_PL","Union_PL","Relationship_PL","All.Suites_PL","Bell.Staff_PL","Boutique_PL","Business.Center_PL","Casino_PL","Conference_PL","Convention_PL","Dry.Cleaning_PL","Elevators_PL","Fitness.Center_PL","Fitness.Trainer_PL","Golf_PL","Indoor.Corridors_PL","Laundry_PL","Limo.Service_PL","Mini.Bar_PL","Pool.Indoor_PL","Pool.Outdoor_PL","Regency.Grand.Club_PL","Resort_PL","Restaurant_PL","Self.Parking_PL","Shuttle.Service_PL","Ski_PL","Spa_PL","Spa.services.in.fitness.center_PL","Spa.online.booking_PL","Spa.F.B.offering_PL","Valet.Parking_PL","Booking_Channel","NPS_Type"
"1","TRANSIENT","0411","KING","2014-12-05",2,2,"BUSINESS",160,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",160,NA,NA,NA,NA,NA,NA,NA,NA,"Lone Tree","Colorado",58,"Hyatt Place","",127,6,"No","Managed","Y","N","N","Y","N","N","N","N","Y","Y","N","N","Y","N","N","N","Y","N","N","N","N","Y","Y","N","N","N","","","N","Global Contact Center",""
"2","TRANSIENT","0281","KNNS","2014-12-01",22,1,"BUSINESS",2970,6,"CONFRM","TRANSIENT","","","Future",2970,NA,NA,NA,NA,NA,NA,NA,NA,"San Diego","California",58,"Hyatt House","",194,4,"No","Managed","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","N","","","N","GDS",""
"3","TRANSIENT","1110","KING","2014-12-12",1,1,"BUSINESS",159.81,0,"CONFRM","TRANSIENT","CHINA","","Past",159.82,NA,NA,NA,NA,NA,NA,NA,NA,"Guangzhou","",65,"Grand Hyatt","Grand Club",375,22,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","Y","N","Y","","Y","Y","N","Internet",""
"4","CONVENTION","0234","1BKN","2014-12-20",1,2,"BUSINESS",124,0,"CONFRM","CONVENTION","UNITED STATES","Gold","Future",124,10,NA,10,10,NA,NA,NA,NA,"Parsippany","New Jersey",63,"Hyatt House","",140,3,"No","Owned","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Global Contact Center","Promoter"
"5","TRANSIENT","0244","2BTN","2014-12-19",1,2,"BUSINESS",242.1,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",242.1,NA,NA,NA,NA,NA,NA,NA,NA,"Sandy","Utah",70,"Hyatt House","",137,4,"No","Managed","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Global Contact Center",""
"6","CONVENTION","524","DLXK","2014-12-09",8,1,"BUSINESS",1472.93,1500.79,"CONFRM","CONVENTION","UNITED STATES","","Past",1640.87,NA,NA,NA,NA,NA,NA,NA,NA,"Taksim","",72,"Grand Hyatt","Grand Club",360,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","N","N","Y","","N","N","Y","Hotel",""
"7","TRANSIENT","1001","OVRK","2014-12-21",3,3,"BUSINESS",664.77,132,"CONFRM","TRANSIENT","","","Past",579.15,NA,NA,NA,NA,NA,NA,NA,NA,"Austin","Texas",48,"Hyatt","",189,4,"No","Owned","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Internet",""
"8","TRANSIENT","1061","QUEN","2014-12-17",4,2,"BUSINESS",300,0,"CONFRM","TRANSIENT","","","Future",300,NA,NA,NA,NA,NA,NA,NA,NA,"Baltimore","Maryland",49,"Hyatt Regency","Regency Club",487,14,"No","Owned","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","N","N","N","","","Y","Opaque",""
"9","TRANSIENT","0606","DDBL","2014-12-23",4,2,"LEISURE",340,24,"CONFRM","TRANSIENT","UNITED STATES","","Future",340,NA,NA,NA,NA,NA,NA,NA,NA,"Auburn Hills","Michigan",66,"Hyatt Place","",127,6,"No","Owned","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","Y","N","N","N","N","Y","N","N","N","N","","","N","Digital Channels",""
"10","TRANSIENT","1527","KING","2014-12-20",3,1,"LEISURE",0,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",0,NA,NA,NA,NA,NA,NA,NA,NA,"Boston","Massachusetts",45,"Hyatt Regency","",498,22,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","","","Y","Hotel",""
"11","TRANSIENT","1530","KING","2014-12-21",1,1,"BUSINESS",79.2,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",79.2,NA,NA,NA,NA,NA,NA,NA,NA,"Chicago","Illinois",68,"Hyatt Place","",212,16,"No","Franchised","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Digital Channels",""
"12","CONVENTION","1121","BUSN","2014-12-08",1,1,"BUSINESS",165,0,"CONFRM","CONVENTION","UNITED STATES","","Future",165,NA,NA,NA,NA,NA,NA,NA,NA,"Pittsburgh","Pennsylvania",52,"Hyatt Regency","",336,11,"No","Franchised","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","N","Y","N","N","N","Y","Y","Y","N","N","N","","","N","Digital Channels",""
