"","MAJOR_MARKET_CODE_C","ROOM_NUM_C","ROOM_TYPE_CODE_C","CHECK_IN_DATE_C","LENGTH_OF_STAY_C","ADULT_NUM_C","POV_CODE_C","PMS_ROOM_REV_USD_C","PMS_FOOD_BEVERAGE_REV_USD_C","RESERVATION_STATUS_R","MAJOR_MARKET_CODE_R","GUEST_COUNTRY_R","MEMBER_STATUS_R","PAST_VS_FUTURE_R","REVENUE_USD_R","Gender_H","Age_Range_H","Guest_Room_H","Tranquility_H","Condition_Hotel_H","Customer_SVC_H","Staff_Cared_H","Internet_Sat_H","Check_In_H","F.B_Overall_Experience_H","City_PL","State_PL","Guest.NPS.Goal_PL","Brand_PL","Club.Type_PL","Hotel.Inventory_PL","Floors_PL","Union_PL","Relationship_PL","All.Suites_PL","Bell.Staff_PL","Boutique_PL","Business.Center_PL","Casino_PL","Conference_PL","Convention_PL","Dry.Cleaning_PL","Elevators_PL","Fitness.Center_PL","Fitness.Trainer_PL","Golf_PL","Indoor.Corridors_PL","Laundry_PL","Limo.Service_PL","Mini.Bar_PL","Pool.Indoor_PL","Pool.Outdoor_PL","Regency.Grand.Club_PL","Resort_PL","Restaurant_PL","Self.Parking_PL","Shuttle.Service_PL","Ski_PL","Spa_PL","Spa.services.in.fitness.center_PL","Spa.online.booking_PL","Spa.F.B.offering_PL","Valet.Parking_PL","Booking_Channel","NPS_Type"
"1","TRANSIENT","1301","KING","2014-03-16",4,1,"BUSINESS",561.33,118.4,"CONFRM","TRANSIENT","HONG KONG","","Future",618.75,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Hong Kong","",57,"Hyatt Regency","Regency Club",567,26,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","N","Y","","Y","Y","N","Hotel",""
"2","TRANSIENT","0208","DDBL","2014-03-02",14,1,"BUSINESS",1661,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",793,"Female","46-55",10,10,10,10,10,10,10,NA,"Ontario","California",61,"Hyatt Place","",127,6,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Digital Channels","Promoter"
"3","TRANSIENT","0915","DDBL","2014-03-11",1,1,"BUSINESS",85,26,"CONFRM","TRANSIENT","","","Future",85,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Lisle","Illinois",40,"Hyatt","",312,14,"No","Franchised","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","GDS",""
"4","TRANSIENT","0401","KING","2014-03-29",1,1,"BUSINESS",92.65,0,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Past",92.65,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Lexington","Kentucky",71,"Hyatt Place","",127,6,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","Y","N","N","N","N","Y","N","N","N","N","","","N","Digital Channels",""
"5","TRANSIENT","0807","DDBL","2014-03-01",1,2,"BUSINESS",70,45.6,"CONFRM","TRANSIENT","UNITED STATES","","Future",70,"","",NA,NA,NA,NA,NA,NA,NA,NA,"San Antonio","Texas",55,"Grand Hyatt","Grand Club",1003,24,"No","Owned","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","N","N","N","N","Y","Y","N","Y","Y","N","N","Y","N","","","Y","Hotel",""
"6","TRANSIENT","1111","RGSK","2014-03-01",2,2,"BUSINESS",253.85,292.37,"CONFRM","TRANSIENT","","","Future",254.45,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Malate","",47,"Hyatt Regency","Club",378,32,"No","Managed","N","Y","N","N","Y","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","N","N","Y","","N","N","Y","Internet",""
"7","TRANSIENT","703","KING","2014-03-05",1,2,"BUSINESS",104.25,2.5,"CONFRM","TRANSIENT","","","Future",104.25,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Owings Mills","Maryland",52,"Hyatt Place","",123,7,"No","Managed","Y","N","N","N","N","N","N","Y","Y","Y","N","N","Y","N","N","N","Y","N","N","N","N","Y","Y","N","N","N","","","N","Opaque",""
"8","TRANSIENT","1111","DLXQ","2014-03-18",2,1,"BUSINESS",478,12,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",478,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Atlanta","Georgia",45,"Hyatt","",194,11,"No","Franchised","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Digital Channels",""
"9","TRANSIENT","412","KING","2014-03-16",5,1,"BUSINESS",666.78,3.09,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",765.16,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Johannesburg","",53,"Hyatt Regency","Regency Club",244,8,"Yes","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","N","Y","","Y","N","Y","Hotel",""
"10","CONVENTION","1107","AFKG","2014-03-28",3,2,"BUSINESS",987,104,"SHARE","CONVENTION","UNITED STATES","Gold","Future",987,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Washington","District of Columbia",47,"Grand Hyatt","Grand Club",888,12,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","N","Y","N","Y","N","Y","Y","N","N","Y","Y","","","Y","Digital Channels",""
